id,author_id,username,created_at,text,clean_text,edit_history_tweet_ids,cleaned_tweet,sentiment
1955301000000000014,1630729660000000014,usernovember,2025-08-12T10:30:02.000Z,@brandX The analytics dashboard is very helpful.,The analytics dashboard is very helpful.,['1955301000000000014'],The analytics dashboard is very helpful.,Positive
1955301000000000015,1630729660000000015,useroscar,2025-08-12T10:31:44.000Z,@brandX Still facing payment issues please assist.,Still facing payment issues please assist.,['1955301000000000015'],Still facing payment issues please assist.,Neutral
1955301000000000016,1630729660000000016,userpapa,2025-08-12T10:32:59.000Z,@brandX Best app I’ve used in 2025 so far!,Best app I’ve used in 2025 so far!,['1955301000000000016'],Best app I’ve used in 2025 so far!,Positive
1955301000000000017,1630729660000000017,userquebec,2025-08-12T10:34:11.000Z,@brandX Please make the iOS app faster.,Please make the iOS app faster.,['1955301000000000017'],Please make the iOS app faster.,Neutral
1955301000000000018,1630729660000000018,userr,2025-08-12T10:35:18.000Z,@brandX Can we get more customization options?,Can we get more customization options?,['1955301000000000018'],Can we get more customization options?,Positive
1955301000000000019,1630729660000000019,usersierra,2025-08-12T10:36:55.000Z,@brandX Just wow! Incredible performance boost.,Just wow! Incredible performance boost.,['1955301000000000019'],Just wow! Incredible performance boost.,Positive
1955301000000000020,1630729660000000020,usertango,2025-08-12T10:38:06.000Z,@brandX Love the clean UI and smooth navigation.,Love the clean UI and smooth navigation.,['1955301000000000020'],Love the clean UI and smooth navigation.,Positive
1955301000000000021,1630729660000000021,useruniform,2025-08-12T10:39:31.000Z,@brandX The customer success team is top-notch.,The customer success team is top-notch.,['1955301000000000021'],The customer success team is top-notch.,Positive
1955301000000000022,1630729660000000022,uservictor,2025-08-12T10:40:48.000Z,@brandX Feature request: Offline mode support.,Feature request: Offline mode support.,['1955301000000000022'],Feature request: Offline mode support.,Neutral
1955301000000000023,1630729660000000023,userwhiskey,2025-08-12T10:42:00.000Z,@brandX How do I transfer my subscription to another account?,How do I transfer my subscription to another account?,['1955301000000000023'],How do I transfer my subscription to another account?,Neutral
1955301000000000024,1630729660000000024,userxray,2025-08-12T10:43:12.000Z,@brandX This app has changed how I manage my work.,This app has changed how I manage my work.,['1955301000000000024'],This app has changed how I manage my work.,Neutral
1955301000000000025,1630729660000000025,useryankee,2025-08-12T10:44:39.000Z,@brandX Please fix the push notifications.,Please fix the push notifications.,['1955301000000000025'],Please fix the push notifications.,Neutral
1955301000000000026,1630729660000000026,userzulu,2025-08-12T10:45:44.000Z,@brandX The search feature is super fast now!,The search feature is super fast now!,['1955301000000000026'],The search feature is super fast now!,Positive
1955301000000000027,1630729660000000027,userapple,2025-08-12T10:47:22.000Z,@brandX I had to reinstall because of a bug.,I had to reinstall because of a bug.,['1955301000000000027'],I had to reinstall because of a bug.,Neutral
1955301000000000028,1630729660000000028,userberry,2025-08-12T10:48:37.000Z,@brandX Can you add multi-language support?,Can you add multi-language support?,['1955301000000000028'],Can you add multi-language support?,Neutral
1955301000000000029,1630729660000000029,usercherry,2025-08-12T10:49:58.000Z,@brandX Loving the performance updates.,Loving the performance updates.,['1955301000000000029'],Loving the performance updates.,Positive
1955301000000000030,1630729660000000030,userdate,2025-08-12T10:51:11.000Z,@brandX I use this tool every single day!,I use this tool every single day!,['1955301000000000030'],I use this tool every single day!,Neutral
1955301000000000031,1630729660000000031,useregg,2025-08-12T10:52:26.000Z,@brandX Still can’t export my data.,Still can’t export my data.,['1955301000000000031'],Still can’t export my data.,Neutral
1955301000000000032,1630729660000000032,userfig,2025-08-12T10:53:48.000Z,@brandX Please fix the timezone display bug.,Please fix the timezone display bug.,['1955301000000000032'],Please fix the timezone display bug.,Neutral
1955301000000000033,1630729660000000033,usergrape,2025-08-12T10:54:55.000Z,@brandX Huge thanks to the dev team!,Huge thanks to the dev team!,['1955301000000000033'],Huge thanks to the dev team!,Positive
1955301000000000034,1630729660000000034,userhoney,2025-08-12T10:56:09.000Z,@brandX Found a bug in the settings menu.,Found a bug in the settings menu.,['1955301000000000034'],Found a bug in the settings menu.,Neutral
1955301000000000035,1630729660000000035,userice,2025-08-12T10:57:31.000Z,@brandX When is the next big release?,When is the next big release?,['1955301000000000035'],When is the next big release?,Neutral
1955301000000000036,1630729660000000036,userjam,2025-08-12T10:58:46.000Z,@brandX The team is doing a wonderful job.,The team is doing a wonderful job.,['1955301000000000036'],The team is doing a wonderful job.,Positive
1955301000000000037,1630729660000000037,userkiwi,2025-08-12T11:00:00.000Z,@brandX My productivity has doubled since using this!,My productivity has doubled since using this!,['1955301000000000037'],My productivity has doubled since using this!,Neutral
1955301000000000038,1630729660000000038,userlemon,2025-08-12T11:01:17.000Z,@brandX Loving the integration with other tools.,Loving the integration with other tools.,['1955301000000000038'],Loving the integration with other tools.,Positive
1955301000000000039,1630729660000000039,usermango,2025-08-12T11:02:28.000Z,@brandX The onboarding videos were very helpful.,The onboarding videos were very helpful.,['1955301000000000039'],The onboarding videos were very helpful.,Positive
1955301000000000040,1630729660000000040,usernectar,2025-08-12T11:03:42.000Z,@brandX Still no fix for the memory leak?,Still no fix for the memory leak?,['1955301000000000040'],Still no fix for the memory leak?,Neutral
1955301000000000041,1630729660000000041,userolive,2025-08-12T11:04:55.000Z,@brandX I’m impressed with the speed improvements.,I’m impressed with the speed improvements.,['1955301000000000041'],I’m impressed with the speed improvements.,Positive
1955301000000000042,1630729660000000042,userpeach,2025-08-12T11:06:10.000Z,@brandX Thank you for listening to user feedback!,Thank you for listening to user feedback!,['1955301000000000042'],Thank you for listening to user feedback!,Neutral
1955301000000000043,1630729660000000043,userquince,2025-08-12T11:07:22.000Z,@brandX Would love more templates in the next update.,Would love more templates in the next update.,['1955301000000000043'],Would love more templates in the next update.,Positive
1955301000000000044,1630729660000000044,userraspberry,2025-08-12T11:08:34.000Z,@brandX Can’t wait for the beta program.,Can’t wait for the beta program.,['1955301000000000044'],Can’t wait for the beta program.,Neutral
1955301000000000045,1630729660000000045,userspice,2025-08-12T11:09:49.000Z,@brandX Had a minor login glitch today.,Had a minor login glitch today.,['1955301000000000045'],Had a minor login glitch today.,Neutral
1955301000000000046,1630729660000000046,usertomato,2025-08-12T11:10:59.000Z,@brandX The export feature saved me hours!,The export feature saved me hours!,['1955301000000000046'],The export feature saved me hours!,Neutral
1955301000000000047,1630729660000000047,userumbrella,2025-08-12T11:12:13.000Z,@brandX How can I join the affiliate program?,How can I join the affiliate program?,['1955301000000000047'],How can I join the affiliate program?,Neutral
1955301000000000048,1630729660000000048,uservanilla,2025-08-12T11:13:27.000Z,@brandX This is now my favorite productivity app.,This is now my favorite productivity app.,['1955301000000000048'],This is now my favorite productivity app.,Positive
1955301000000000049,1630729660000000049,userwatermelon,2025-08-12T11:14:42.000Z,@brandX Any chance of adding AI-based suggestions?,Any chance of adding AI-based suggestions?,['1955301000000000049'],Any chance of adding AI-based suggestions?,Neutral
1955301000000000050,1630729660000000050,userxylophone,2025-08-12T11:15:57.000Z,@brandX Love that you fixed the duplicate notification bug.,Love that you fixed the duplicate notification bug.,['1955301000000000050'],Love that you fixed the duplicate notification bug.,Positive
