id,platform,sender,subject,username,cleaned_body,sentiment,confidence,date,tag,was_truncated
f318a134ca8c,email,LottieFiles <hello@lottiefiles.com>,Get creative with blend modes 🌈,,lf july 2025 explore new supported blend modes on ae you can now import and export 10 blend modes with lottiefiles for after effects unlocking richer textures deeper shadows glowing effects and more unique visual styles for your animations explore more the next chapter of lottie animations collections your pinterest board for animations save inspiration test runs and final files in one place organize with public or private collections in your lottiefiles workspace read more enhance your premiere pro videos with motion access 750 000 animations customize with ease and export as mp4 or transparent mov no green screen needed explore more interactivity blob animation each canvas runs a different dotlottie file wrapped in real physics using matter js it bounces rotates and falls see codepen community oss europe 2025 join mattia basaglia lottiefiles and brandon wilson google at oss eu as they dive into how lottie 1 0 is shaping the future of cross platform animation see more details builders day hatch conference 2025 tiny motions big impact join carmen ansio as she explores the power of microinteractions and how to build better ui through smart animation learn more changelog blend modes in figma blend modes are now in lottiefiles for figma try 8 modes like multiply and darken screen and more for a richer result meet the new lottiefiles web a fresh look faster performance and smarter language support enjoy a smoother experience wherever you are copyright 2025 lottiefiles is by design barn inc all rights reserved unsubscribe,positive,0.916,2025-08-28 12:57:32.052464,,False
ca53c9ab8d55,email,AI Shots Team <aishotsclub@mail.beehiiv.com>,Thursday Thrive - ,,view image caption,positive,0.968,2025-08-28 12:57:32.052511,,False
6584d44af473,email,Generative AI via LinkedIn <newsletters-noreply@linkedin.com>,Top Companies Defining the Future of AI Q2 2025 (Part 1),,the atlas by generative ai by generative ai read this article on linkedin to join the conversation read on linkedin from the atlas ai newsletter read by 3m operators builders decision makers in this installment of the atlas newsletter delivered to a global audience of over 3 million builders operators and ai decision makers we spotlight the infrastructure pioneers and generative ai platforms laying the foundation for tomorrow s intelligent systems we spoke with c level executives leading the charge across llms rag architectures ai agent platforms and scalable infrastructure asking them the most pressing questions about their vision breakthroughs and role in shaping ai s next evolution selected those with the most inspiring and forward looking perspectives to share with you our interviews explored questions such as what s the core problem your ai product solves what s something your tech does that sets it apart from competitors what s your biggest achievement in 2025 so far how do you see your product shaping the future of ai what challenges did you face in 2025 what s next for your company this year the following sections highlight the companies we believe are pioneering the future of ai grouped by their primary focus generative ai infrastructure leaders wand ai enabling businesses to build deploy and manage hybrid teams of ai agents and humans with enterprise grade controls vectara delivering secure reliable retrieval augmented generation apis with enterprise grade hallucination control runbear your ai powered teammate for finance hr and service teams automate workflows eliminate inefficiencies and scale operations without adding headcount quickchat ai conversational ai for e commerce integrating with shopify for seamless shopping experiences livex ai livex serves b2c companies including digital commerce brands and saas platforms that are looking to improve customer retention sell more cut support costs and scale with ai native infrastructure insights from the wandai team wandai is the only platform designed as a full ai operating system for hybrid workforces enabling teams composed of humans and ai agents to collaborate seamlessly it empowers organizations to create execute and manage ai agents within the same environment as their people making agents trusted contributors not isolated tools our platform offers a centralized agentops dashboard that allows businesses to monitor agent performance control autonomy set budgets and manage compliance while scaling across teams and workflows agents can interact escalate to humans when needed and trigger automations based on observed team dynamics with robust soc 2 compliant security flexible deployment options on prem private cloud hosted and seamless integration across systems wandai delivers enterprise ready performance without sacrificing control or traceability discover how wandai is helping enterprises turn ai agents into trusted team members visit insights from the vectara team enterprises today want to deploy ai agents and assistants at scale but they can t compromise on security regulatory compliance or control that s where we come in helping organizations innovate with confidence in 2025 our focus has been on breaking down one of the toughest barriers to generative ai adoption hallucinations last year we open sourced our hughes evaluation model which powers the factual consistency score this year we ve moved beyond detection introducing automated hallucination correction and a suite of tools for rag evaluation agentic frameworks and mcp servers our goal is to give teams everything they need to build responsible trustworthy ai agents we re redefining how enterprises harness agentic ai and rag by tackling the hardest challenges grounding outputs in reality and ensuring trust at scale with these breakthroughs companies can finally scale ai agents without sacrificing control or reliability enabling faster innovation and unlocking greater value for knowledge workers discover how vectara is helping enterprises build trusted scalable ai agents insights from the runbear team runbear is built for slack and microsoft teams heavy operations teams from finance and hr departments to executive and service based businesses like consultancies and agencies that rely on spreadsheet driven workflows but need a smarter more collaborative way to work since our launch last year we ve grown to 235 paying companies including industry leaders like bcg peek and laseraway and achieved 2x year to date growth our mission goes beyond automating repetitive work we enable non technical teams to collaborate with ai as if it were another team member unlike traditional no code tools runbear s ai doesn t just wait for commands it actively scans ongoing work identifies inefficiencies and autonomously handles tasks through over 2 700 service integrations it joins conversations learns from team dynamics and takes initiative looking ahead we aim to make ai agents as intuitive and impactful as hiring a new teammate fundamentally transforming how organizations scale and operate cta learn how runbear is helping teams work alongside ai like never before discover runbear insights from the quickchat team quickchat is revolutionizing conversational e commerce enabling users to interact with online stores as if speaking with a shop assistant customers can describe needs set budgets and receive tailored suggestions all without leaving the chat deep shopify mcp integration allows users to browse catalogs add products to carts and even check out creating a frictionless shopping journey in 2025 quickchat became the official ai partner for sony s customer support operations across europe and launched shopping ai our conversational e commerce tool for shopify redefining online shopping as active conversations rather than passive browsing this year has been transformational from enterprise adoption with global clients to scaling our b2c retail tech looking forward quickchat is pioneering ai native commerce with plans to expand integrations beyond shopify roll out a subscription based engagement model and make conversational shopping mainstream our shopify tool is free to try just paste a store url to experience the magic instantly experience the future of conversational shopping try quickchat insights from the livex team livex powers ai native cx infrastructure for b2c brands and saas platforms seeking to reduce churn scale growth and replace fragmented tools our clients include cx growth and product leaders at companies with high user volumes and mounting retention challenges 2025 has been a breakout year livex grew arr past 1 5m with a projected run rate of 5 7m over the next 12 months secured partnerships with wyze fashionpass feit electric and pictory and delivered game changing results including 90 self service rates 30 churn reduction and 3x free to paid conversion we re building the next interface layer between businesses and customers powered by memory aware task capable ai agents that can retain context complete tasks and drive retention satisfaction and growth spanning chat voice qr and digital avatars livex is leading the charge as b2c brands shift to ai native models transforming support and redefining customer engagement learn how livex is redefining cx with ai native agents visit livex stay connected with the ai frontier want to stay ahead of the curve join our global ai community and explore the latest insights tools and breakthroughs across platforms follow our ai community of 6m on linkedin generative ai subscribe to our ai newsletter with 3m readers atlas newsletter watch the future unfold on youtube genai works youtube follow us on x genai now explore visual updates on instagram generativeai official read stories on medium genai on medium get daily updates in your inbox daily ai newsletter be part of the movement that s shaping the future of ai discover learn and grow with genai works keep reading on linkedin,positive,0.9,2025-08-28 12:57:32.052600,,True
6b8546528b06,email,Groww Trading Bulletin <noreply@groww.in>,"Nifty’s sharp swings, PCR at 0.9 & more — Groww Trading Bulletin",,soham manojkumar gangurde your daily trading newsletter is here groww trading bulletin31 july 2025nifty 5024 768 35 86 70 1 day 15 min timeframenifty opened with a big gap down of more than 100 points after the trump tariff decision after this it took support near 24 650 levels and it started rising from 10 15 am this went on till 2 pm where nifty made a high of around 24 950 levels after that it fell nearly 200 points in the next one and half hour levels to watch for tomorrow 24 900 upside 24 653 downside 4 hrs timeframeon the 4 hour timeframe nifty continues to show consolidation in the defined range this can be a very tight range the last candle on this timeframe is a gravestone doji which indicates some bearishness there is a crisp doji forming on weekly timeframe which also indicates higher indecision in the market global markets s p 500 closed flat as investors digested mixed earnings reports and remained cautious ahead of upcoming economic data and potential federal reserve decisions nikkei 225 rose supported by strong performances in financial and technology stocks along with a weaker yen that boosted export oriented companies kospi fell slightly due to profit taking and concerns over potential u s tariff measures which led to a muted session hang seng fell pressured by declines in chinese tech stocks and ongoing policy uncertainties dax fell weighed down by disappointing earnings reports and concerns over potential trade tensions which dampened market sentiment options data insightsnifty 50strong support at 24 700 there is a notable put oi buildup at the 24 700 strike indicating a firm support zone as traders look to defend this level resistance at 24 900 a strong accumulation of call oi is visible at the 24 900 strike making it a clear resistance zone where sellers are actively positioning long unwinding below 24 800 nifty is hovering below 24 800 with significant put oi around this strike if it sustains below this level it may trigger long unwinding as downside pressure builds pcr at 0 90 the put call ratio of 0 90 reflects a slightly bullish sentiment put writers are seen building positions at key support levels indicating confidence though resistance remains heavy overhead usually a put call ratio of 1 is neutral 0 5 suggests an oversold market and 1 5 indicates an overbought market india vix and nifty volatilityindia vix rose to 11 54 reflecting a 2 94 gain suggesting very low short term volatility historically india vix ranges between 12 and 25 levels above 20 indicate higher volatility and market stress while levels below 15 suggest low volatility nifty atm iv surged to 12 13 indicating very low volatility for nifty options in the near term with an iv change of 1 40 a lower iv suggests that traders expect smaller price movements which usually results in lower option premiums concept of the daybuying naked call optionit is a option strategy used when a trader expects a strong upside movement in the price of the underlying asset it involves purchasing a call option without any offsetting position allowing unlimited profit potential while limiting risk to the premium paid the goal of this strategy is to capitalize on strong bullish momentum and breakout moves scenario and example a naked call buying strategy was well suited for today s market conditions where nifty showed a swift recovery after the gap downfor instance when nifty opened with a gap down a trader could have capitalized on the move by going long after a breakout above the first 15 minute candle the trade could be managed with a trailing stop loss targeting 24 959 a resistance level on the higher timeframe an in the money call option with a high delta would have been an ideal instrument for this setup buy call option of 24 500 strike to benefit from strong directional movement this strategy profits from sustained upside momentum making it effective in trending markets where breakouts continue without major pullbacks chart of the day challengethis pattern appeared on the 1 d chart of hdfc life some time back can you identify the name of this chart pattern stay tuned for the answer in tomorrow s edition yesterday s challenge answer regression trend in vishal mega martin this section daily we ll showcase one stock with a pattern formation and discuss it in the next day s edition thank you for reading the groww trading bulletin stay tuned for more updates tomorrow happy trading did you like this trading bulletin yes noteam growwgroww is india s 1 stock broker loved trusted by 1cr active investors 2020 groww invest tech pvt ltdabout us terms conditions privacy policyyou re getting this email because you re a groww user and we believe you deserve great finance content and the latest updates from us however you have the option to unsubscribe here or if you need help we re here for you our registered office address vaishnavi tech park south tower 3rd floor sarjapur main road bellandur bengaluru karnataka 560103 groww is india s no 1 stock broker based on active clients user data as per nse as on 30 november 2024 and is the largest distributor of mutual funds sips refer disclaimer the above mentioned details have been collated prepared by groww invest tech pvt ltd and is meant for sole use by the recipient and not for circulation the information contained in this e mailer has not been prepared with any account specific investment objectives financial situations or needs of any particular investor and is intended for general information purposes only the information published should not be used as a substitute for any form of advisory kindly note that investment in securities markets is subject to market risks read all the related documents carefully before investing the investor is requested to take into consideration all the risk factors before the commencement of trading mutual fund investments are subject to market risks read all scheme related documents carefully past performance of the schemes is neither an indicator nor a guarantee of future performance groww invest tech pvt ltd sebi registration no inz000301838 research analyst no inh200008662 dpi registration no in dp 417 2019 and amfi registration no arn 111686,negative,0.994,2025-08-28 12:57:32.052685,,True
c9fc0e2a1b15,email,=?UTF-8?B?R3Jvd3cgRGlnZXN0?= <noreply@digest.groww.in>,"Trump's 25% tariffs on India, NSDL IPO, TVS Motor profits up 32%, & more - Groww Digest",,nan,positive,0.954,2025-08-28 12:57:32.052734,,False
c0ca2f949b47,email,"""Coursera"" <Coursera@m.learn.coursera.org>",Get access to Google AI Pro for 3 months,,limited time get expanded features in gemini when you enroll in a google certificate body table td th h1 h2 h3 div span strong b i p ul ol li a font family helvetica sans serif important sup font size 100 important nudge component icon column padding left 12px important padding right 32px important nudge component text column padding bottom 32px important padding right 12px important mobile only display none important 96 coursera limited time offer get more out of your google certificate for a limited time when you enroll in a google certificate you get access to google ai pro for 3 months 59 97 value to put your new ai skills to work check out google s most capable ai models and advanced gemini features designed to power up your productivity use gemini in gmail docs and sheets try enhanced video creation with veo 3 fast get 5x more audio overviews notebooks queries and sources per notebook in notebooklm whether you re exploring a new career sharpening your skills in your current role or diving into ai for the first time now s the time to learn and create with google s most capable ai tools offer ends soon explore google certificates,negative,0.989,2025-08-28 12:57:32.052788,,False
036ca2d161ae,email,deloittesh-jobnotification@noreply44.jobs2web.com,New jobs posted from southasiacareers.deloitte.com,,you are receiving this email because you joined the deloitte talent community on 6 5 25 you will receive these messages every 7 day s your job alert matched the following jobs at southasiacareers deloitte com jobs srt icc corporate finance deputy manager corporate finance mumbai in srt icc corporate finance deputy manager deal origination mumbai in assistant manager business valuations mumbai valuations icc mumbai in srt icc turnaround cost transformation fa icc senior manager manager vcs mumbai in t t engineering ead qe senior consultant functional testing mumbai mumbai in t t engineering ead qe consultant functional manual testing mumbai mumbai in t t engineering ead qe consultant functional manual testing mumbai mumbai in assistant manager direct tax mumbai commerz iii finance accounts mumbai commerz iii in assistant manager direct tax mumbai finance accounts mumbai in t t engineering ead qe consultant functional manual testing mumbai mumbai in manage your job alertsemail settings unsubscribe,negative,0.991,2025-08-28 12:57:32.052840,,False
b0f0e9e8dc40,email,LinkedIn <messages-noreply@linkedin.com>,"SOHAM, add om yelamkar - Founder",,do you know om yelamkar 14 mutual connections yes connect more people you may know uday katkar student at vidyalankar institute of technology mumbai university aspiring data scientist mutual connections omkar kharik electronics and computer science undergraduate mutual connections arya panchal final year b tech extc student cultural secretary at vit mumbai passionate about event management leadership skilled in ai tools ms office mutual connections ranveer deshmukh full stack and ai ml engineer final year student at vidyalankar institute of technology mutual connections ayyan rajapkar computer engineering student at vit engineering minds coding futures building what s next mutual connections see more people you might know,positive,0.991,2025-08-28 12:57:32.052891,,False
09d81c8852a2,email,Myprotein <info@n.myprotein.com>,35% OFF ALL Vitamins ,,myprotein home our range your goals clothing empowering over 20 million customers worldwide 35 off vitamins redeem your exclusive offer with the code below code promocode shop now ashwagandha popular categories protein clear whey,positive,0.861,2025-08-28 12:57:32.052940,,False
887cd27b3341,email,Internshala Jobs <student@mail.internshala.com>,Update: Your slot for the Flipkart session is confirmed,,internshala fresher jobs webinar 2025tap here to know the details hi soham we re holding a spot for you tomorrow is your opportunity to get career changing insights straight from tanmoy majumder cluster head hr at flipkart webinar how to get your first job in supply chain e commerce date 1st august time 5 00 pmhere s what you ll walk away with what flipkart looks for in freshers during hiring resume interview hacks to stand out in e commerce jobs how to avoid common mistakes that cost freshers their first job actionable steps to break into supply chain ops roles live q a to get your career doubts answered by flipkart s hr head only 1 day left to register don t miss this chance to ask your questions directly to the person who hires for these roles click here or on the button below to register now register now having trouble reading this email view it in your browser you are receiving this email as a member of internshala comcommunity our address scholiverse educare pr vate limited 901 a b iris tech park sector 48 sohna road gurgaon india 122018unsubscribe me from this list if you d like to unsubscribe and stop receiving these emails click here,negative,0.997,2025-08-28 12:57:32.052993,,False
a946297abafb,email,"Northeastern University Global Admissions
	<GlobalStudyExpo@northeastern.edu>",Join ,,discover how northeastern s world class education can help your career view in browser greetings northeastern university s 2025 global study expo india is happening soon in hyderabad mumbai and bengaluru and we hope you ll join us for the largest education event in india hosted by a u s based university northeastern offers a world class education and resum building opportunities through real world work experiences this combination is what turns a northeastern degree into an advantage during this event you will be able,positive,0.999,2025-08-28 12:57:32.053042,,False
315486166511,email,Alison <noreply@us-skills.alison.com>,"SOHAM, no matter the tech role, we've got free courses for it! 📚",,firstname no matter the tech role we ve got free courses for it upskill your it skills with our free courses view in web browser share on social my dashboard course categories null connect with us on social media no longer want to receive emails from alison simply unsubscribe level one building galway technology park parkmore galway ireland 2025 alison,negative,0.999,2025-08-28 12:57:32.053093,,False
22cbd6dcfabc,email,=?UTF-8?B?R3Jvd3c=?= <noreply@groww.in>,New on Groww: Less friction. Smarter control.,,nan,positive,0.954,2025-08-28 12:57:32.053140,,False
cde83f117884,email,"""IMDb.com"" <do-not-reply@imdb.com>",IMDb staff picks for August,,august staff picks see what the imdb staff will be watching this month including kooky comedies and sensational sequels see our picks famous families take a closer look at some of hollywood s most talented families see the gallery latest posters feast your eyes on these stunning posters for new and upcoming movies and shows see the posters unsubscribe update your email preferences copyright 2024 imdb com all rights reserved 410 terry avenue north seattle wa 98109 5210,positive,0.998,2025-08-28 12:57:32.053189,,False
c5267c8c620b,email,"""Facebook"" <notification@priority.facebookmail.com>",You have 3 notifications about Maya and others,,view your notifications go to facebook hi soham you have 3 unread notifications to review a lot has happened on facebook since you last logged in here are some notifications you ve missed from your friends 3 other new notifications,negative,0.987,2025-08-28 12:57:32.053237,,False
c629f21a7c10,email,Job Guarantee Course | Cuvette Tech <team@cuvette.tech>,Placement Guarantee Course Program Important Update,,placement guarantee course program important update dear soham join our placement guaranteed course program designed by top iittians senior developers get a job guarantee key highlights 100 placement guarantee refundable if not hired daily live classes 9 industry projects mock interviews resume building sessions from top industry mentors guaranteed placement in 7500 partner companies including startups top mncs data science placement guarantee course deadline 11 pm today full stack development with genai placement guarantee course deadline 11 pm today note if you have any queries please reply to this email,negative,0.988,2025-08-28 12:57:32.053287,,False
81312a52b3e2,email,LinkedIn <jobs-listings@linkedin.com>,Open Home Foundation is hiring a Frontend Engineer,,top job picks for you frontend engineer open home foundation spain high experience match view job,positive,0.993,2025-08-28 12:57:32.053335,,False
677e2bd08e82,email,=?UTF-8?B?TGlua2VkSW4=?= <linkedin@e.linkedin.com>,"SOHAM, thanks for being a valued member",,linkedin enjoy your free trial hi soham based on your recent activity we d like to give you a special offer a one month free upgrade to linkedin premium linkedin premium gives you the following additional features custom button guide your profile viewers to take a desired action like visit your website sign up for a demo and more inmail so you can reach out to anyone including peers industry leaders potential partners even if you re not connected who s viewed your profile to see everyone who viewed your profile over the last 365 days linkedin learning s 22 000 expert led courses to hone your skills company insights so you can stay up to date on your peers or other companies of interest start your 1 month free trial today try for free terms and conditions after your promotional period you will automatically be charged for a subscription on a monthly or annual basis at your choice unless you cancel this promotion ends august 7 2025 learn more for who s viewed your profile first last name may not be listed for profile viewers who have chosen to remain semi or fully anonymous via their privacy settings inmail credits expire after 90 days or when the subscription ends custom button is available to premium business recruiter lite sales navigator core and advanced customers premium career plan subscribers do not have access to custom button footer mercado english this email was intended for soham gangurde student at vidyalankar institute of technology mumbai learn why we included this this is an occasional email to help you get the most out of linkedin unsubscribe help 2025 linkedin ireland unlimited company all rights reserved linkedin ireland unlimited company gardner house wilton plaza wilton place dublin 2 ireland linkedin and the linkedin logo are registered trademarks of linkedin,negative,0.994,2025-08-28 12:57:32.053390,,False
